borough,stations,ada_stations,tracts,covered,gap_tracts,coverage_rate,gap_pop,total_pop,avg_need,avg_distance_m,mean_rel_coverage,fragile_stations
Manhattan,151,61,309,238,71,0.7702,361154,1627788,0.1065,584.1051,0.7099,25
Brooklyn,169,43,800,326,474,0.4075,1467660,2643238,0.0831,1007.2832,0.3977,7
Queens,82,26,723,159,564,0.2199,1752073,2330124,0.0789,1966.8730,0.2074,9
Bronx,70,21,360,167,193,0.4639,690126,1413712,0.1018,980.6092,0.4361,8
Staten Island,21,6,125,11,114,0.0880,446127,492734,0.0825,2983.1802,0.0880,0
